GrowingSeason,Site,Variety,AUDPC,DiseaseSeverity,YieldAttainable,YieldActual,YieldLossRaw,YieldLossPerc,AGBattainable,AGBactual,AveTx,AveTn,AveRHx,AveRHn,TotalPrec,TotalRad,TotalLW
1973,indiana,Generic,0.0,0.0,0.0,0.0,0.0,0.0,682.2973203052912,577.2973203052919,10.311302325581396,2.3443139535958664,91.18379560193111,58.11780417333094,253.78229400342533,696.6299999999999,681.0
1974,indiana,Generic,1690.2021896144718,0.1739672539606565,1914.2372750678512,1732.4828488973396,181.75442617051158,9.494874461896014,3941.541128395049,3654.786702224539,11.63521484375,2.6132148438717286,92.75381123614798,55.65062148452991,816.9682128631878,3118.49,2434.0
1975,indiana,Generic,4206.068898083648,0.46353735695205633,2188.1058547134403,1658.3011107560612,529.8047439573791,24.21293937019165,6026.9749852364,5392.170241279022,12.597571428571428,3.5883721805726836,91.38499591053713,53.194579548143295,664.2093711502392,3594.98,2118.0
1976,indiana,Generic,752.2252569570118,0.06880413563809477,1741.5144374451797,1651.060786944043,90.45365050113674,5.193965008629685,3717.498997617002,3522.0453471158653,10.685282868525896,0.44072111567607225,87.9270461612457,47.34697178776164,469.55324071916846,3453.71,1477.0
1977,indiana,Generic,3448.0007758734373,0.39877737986454254,2221.9817017878063,2017.0945128134954,204.8871889743109,9.220921522866668,6382.238254296079,6072.351065321766,11.426774809160303,1.9275343512732057,90.66658317363475,51.51144921420263,639.9778259179136,3587.1600000000003,1838.0
1978,indiana,Generic,54.59797955347999,0.006021637971697817,1838.0819829050706,1828.5228561803494,9.559126724721182,0.5200598674936727,5788.526636976304,5673.967510251586,10.19375464684015,0.8255204462230544,93.66268750196996,54.54611058611299,679.5685633644124,3632.27,2292.0
1979,indiana,Generic,2984.91036504431,0.331152419243102,2134.2851889100793,1834.5146545723103,299.77053433776905,14.04547695384859,5384.107019967124,4979.336485629355,10.838815789473685,1.3967255640371712,92.43043075423687,53.60045165329263,694.6794355392676,3537.59,2209.0
1980,indiana,Generic,2362.6326910717744,0.27850443851813234,1903.2207308985314,1757.5347437311464,145.68598716738506,7.654707875034816,5528.666742282847,5277.980755115462,10.791348148148147,1.7985370371583722,90.37352957566061,52.40979025629843,672.111422025232,3526.7499999999995,1955.0
1981,indiana,Generic,3124.168740465929,0.35935774556475575,1975.8850874859443,1865.3100759618428,110.57501152410146,5.596226836490462,5288.316126860286,5072.7411153361845,11.46913409961686,2.1629118775201994,92.08713650955825,52.10554029357629,843.8153666997473,3416.2799999999997,2063.0
1982,indiana,Generic,3011.4821854027277,0.3210654512374254,1701.6456497658294,1338.0611063531073,363.58454341272204,21.36664254762773,5986.847797735273,5518.1246707902355,11.478245353159851,1.9533717473404097,91.98513901630011,53.84660377483119,931.8386089534697,3576.3200000000006,2457.0
1983,indiana,Generic,2219.3072087378278,0.2304007271908731,2315.533912458545,2076.7854807163585,238.7484317421863,10.310729221352341,4352.429403853877,4008.680972111694,10.88524521072797,2.317881226169234,91.43762241672849,54.12084516703875,816.8270785710235,3263.3500000000004,1986.0
1984,indiana,Generic,2256.4581586074128,0.2744322632764478,2155.0894851672847,2023.4160244983268,131.6734606689579,6.109883676534991,5495.541997743003,5258.868537074045,11.732925373134329,2.870309701612116,92.59333495010695,54.76765358950892,805.7610579793142,3366.34,2336.0
1985,indiana,Generic,778.9794240525761,0.07212589848931517,2454.785496447998,2303.206920712791,151.57857573520687,6.174819590328222,4819.650018201379,4563.071442466171,10.791574297188754,1.8066586346593814,91.4628442734763,53.63790893222237,923.4159881157246,3073.8900000000003,1983.0
1986,indiana,Generic,64.64649359702467,0.006108255761343924,2010.533483066508,2000.3805200947584,10.15296297174973,0.5049885046561978,4894.4471920718015,4779.294229100056,11.630284584980235,2.6993280633616075,91.12734519888494,54.034738414502556,628.8922182426052,3127.08,1931.0
1987,indiana,Generic,3100.5394118874374,0.3365648060907917,1936.1863498168075,1656.8207192884247,279.3656305283828,14.428654068076401,6000.610923011671,5616.245292483289,12.768443137254902,3.3442392158134298,88.85935646361821,50.36691613718345,555.3096568644735,3431.95,1600.0
1988,indiana,Generic,801.9002673455641,0.09759602038679686,2034.7509266023699,2018.3874607183593,16.363465884010566,0.8041999475254844,5580.3223600091005,5458.958894125091,11.626474903474902,1.4366332047706902,84.95201677467902,45.450455159508124,561.5722480322311,3758.7000000000003,1514.0
1989,indiana,Generic,2777.59308168283,0.32668564997039773,2068.051767910443,1966.927921808137,101.12384610230583,4.889812125181047,5736.365976537644,5530.24213043534,11.160011320754718,1.6745660378638312,91.29087673288628,51.673178727687535,663.5060119513693,3657.14,1959.0
1990,indiana,Generic,1581.103293634042,0.17064605749719214,2063.8345244711572,1936.99087913688,126.8436453342772,6.146018192363555,4173.446275021335,3941.6026296870564,13.10357587548638,3.760194552655248,91.03179899624989,52.35187875340313,851.2958645645907,3182.82,2008.0
